train,stations
train_10013,"[Beverwijk, Castricum, Den Helder, Alkmaar, Hoorn, Alkmaar]"
train_10114,"[Amsterdam Sloterdijk, Haarlem, Beverwijk, Castricum, Zaandam, Hoorn, Zaandam, Castricum, Alkmaar]"
train_10181,"[Zaandam, Castricum, Hoorn, Alkmaar, Den Helder, Alkmaar]"
train_9643,"[Schiphol Airport, Leiden Centraal, Alphen a/d Rijn, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Beverwijk, Zaandam]"
train_9830,"[Hoorn, Zaandam, Hoorn, Den Helder, Alkmaar]"
train_9545,"[Amsterdam Centraal, Amsterdam Amstel, Amsterdam Centraal, Amsterdam Amstel, Amsterdam Zuid, Amsterdam Amstel, Amsterdam Zuid, Amsterdam Amstel, Amsterdam Zuid, Amsterdam Sloterdijk, Haarlem, Beverwijk]"
train_9845,"[Alkmaar, Castricum, Zaandam, Beverwijk, Zaandam, Beverwijk, Castricum, Alkmaar, Castricum, Zaandam]"
train_10021,"[Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Beverwijk, Zaandam, Castricum, Alkmaar, Hoorn, Alkmaar]"
train_9541,"[Amsterdam Sloterdijk, Amsterdam Zuid, Schiphol Airport, Amsterdam Zuid, Amsterdam Sloterdijk, Zaandam, Castricum, Castricum, Alkmaar, Den Helder, Alkmaar]"
train_9448,"[Rotterdam Alexander, Gouda, Alphen a/d Rijn, Gouda, Den Haag Centraal, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Heemstede-Aerdenhout, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Heemstede-Aerdenhout, Haarlem]"
train_9967,"[Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Amsterdam Centraal, Amsterdam Sloterdijk, Haarlem, Beverwijk, Castricum, Beverwijk, Zaandam, Alkmaar, Hoorn]"
train_9964,"[Haarlem, Beverwijk, Castricum, Zaandam, Amsterdam Centraal, Amsterdam Amstel, Amsterdam Centraal, Amsterdam Amstel, Amsterdam Zuid, Amsterdam Sloterdijk]"
train_9744,"[Alkmaar, Hoorn, Alkmaar, Castricum, Beverwijk, Castricum, Alkmaar]"
train_9570,"[Castricum, Alkmaar, Den Helder, Alkmaar, Den Helder, Alkmaar]"
train_10014,"[Zaandam, Beverwijk, Beverwijk, Castricum, Zaandam, Castricum, Beverwijk, Haarlem]"
train_10148,"[Heemstede-Aerdenhout, Haarlem, Beverwijk, Castricum, Beverwijk, Haarlem, Beverwijk, Zaandam, Hoorn, Alkmaar]"
train_9642,"[Haarlem, Amsterdam Sloterdijk, Haarlem, Amsterdam Sloterdijk, Zaandam, Hoorn, Den Helder, Alkmaar]"
train_10005,"[Beverwijk, Castricum, Den Helder, Alkmaar, Den Helder, Alkmaar]"
train_9301,"[Castricum, Zaandam, Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Sloterdijk, Haarlem, Beverwijk, Castricum, Beverwijk, Castricum, Den Helder, Alkmaar]"
train_9213,"[Amsterdam Centraal, Amsterdam Sloterdijk, Zaandam, Hoorn, Den Helder, Alkmaar]"
score,4908.0
