train,stations
train_12985,"[Arnhem Centraal, Ede-Wageningen, Dieren, Nijmegen, Arnhem Centraal, Oss, Nijmegen, s-Hertogenbosch, Utrecht Centraal, Oss, Tilburg, Eindhoven]"
train_12986,"[Amersfoort, Apeldoorn, Utrecht Centraal, Zwolle, Assen, Steenwijk, Amersfoort]"
train_12987,"[Vlissingen, Roosendaal, Etten-Leur, Vlissingen, Dordrecht, Breda]"
train_12988,"[Zwolle, Steenwijk, Deventer, Almelo, Hengelo, Deventer, Zwolle]"
train_12989,"[Hengelo, Enschede, Hengelo, Almelo, Amersfoort, Deventer, Apeldoorn, Almelo, Zutphen, Zwolle]"
train_12990,"[Arnhem Centraal, Dieren, Zutphen, Apeldoorn, Dieren, Zutphen, Deventer, Dieren, Zutphen, Deventer, Zwolle, Almelo]"
train_12991,"[Almere Centrum, Lelystad Centrum, Amsterdam Amstel, Hilversum, Amsterdam Amstel, Almere Centrum, Utrecht Centraal, Amsterdam Centraal]"
train_12992,"[Rotterdam Centraal, Rotterdam Alexander, Schiedam Centrum, Rotterdam Blaak, Rotterdam Centraal, Delft, Den Haag Laan v NOI, Den Haag Centraal, Den Haag HS, Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander, Gouda, Rotterdam Blaak, Dordrecht, Rotterdam Blaak, Roosendaal, Dordrecht]"
train_12993,"[Amsterdam Sloterdijk, Hoorn, Castricum, Beverwijk, Haarlem, Zaandam, Hoorn, Beverwijk, Zaandam]"
train_12994,"[Amsterdam Zuid, Leiden Centraal, Utrecht Centraal, Amsterdam Centraal, Ede-Wageningen, Amersfoort, Gouda, Alphen a/d Rijn, Schiphol Airport]"
train_12995,"[Gouda, Den Haag Centraal, Gouda, Utrecht Centraal, Amsterdam Amstel, Ede-Wageningen, Gouda, Schiphol Airport]"
train_12996,"[Rotterdam Centraal, Rotterdam Alexander, Gouda, Den Haag HS, Den Haag Laan v NOI, Alphen a/d Rijn, Rotterdam Alexander, Utrecht Centraal, Hilversum, Ede-Wageningen, Alphen a/d Rijn]"
train_12997,"[Den Haag HS, Delft, Gouda, Leiden Centraal, Den Haag Centraal, Gouda, Heemstede-Aerdenhout, Haarlem, Leiden Centraal, Den Haag HS, Gouda, Den Haag Centraal, Delft, Leiden Centraal, Den Haag Laan v NOI, Schiphol Airport]"
train_12998,"[Heerenveen, Steenwijk, Leeuwarden, Heerenveen, Groningen, Leeuwarden, Groningen, Assen]"
train_12999,"[Den Helder, Alkmaar, Hoorn, Den Helder, Alkmaar, Zaandam, Castricum, Beverwijk, Zaandam, Castricum]"
train_13000,"[Haarlem, Amsterdam Sloterdijk, Beverwijk, Heemstede-Aerdenhout, Leiden Centraal, Alphen a/d Rijn, Heemstede-Aerdenhout, Leiden Centraal, Alphen a/d Rijn, Utrecht Centraal, Ede-Wageningen, Schiphol Airport]"
train_13001,"[Roermond, Weert, Sittard, Maastricht, Roermond, Sittard, Heerlen, Sittard, Maastricht, Sittard, Maastricht, Sittard, Heerlen]"
train_13002,"[Apeldoorn, Zutphen, Apeldoorn, Amersfoort, Utrecht Centraal, Schiphol Airport, Utrecht Centraal, Tilburg, Eindhoven, Breda, s-Hertogenbosch]"
train_13003,"[Dordrecht, Roosendaal, Etten-Leur, Breda, Roosendaal, Dordrecht, Roosendaal, Etten-Leur, Breda, Tilburg, Oss, s-Hertogenbosch]"
train_13004,"[Deventer, Zutphen, Apeldoorn, Amersfoort, Utrecht Centraal, Amsterdam Centraal, Almere Centrum, Amsterdam Sloterdijk, Utrecht Centraal]"
score,11939.370786516854
