train,stations
train_120735,"[Rotterdam Blaak, Schiedam Centrum, Delft, Den Haag HS, Gouda, Leiden Centraal, Den Haag Centraal, Den Haag Laan v NOI, Schiphol Airport, Leiden Centraal, Utrecht Centraal, Amsterdam Amstel, Amsterdam Zuid]"
train_122925,"[Zaandam, Amsterdam Sloterdijk, Amsterdam Zuid, Amsterdam Sloterdijk, Haarlem, Amsterdam Sloterdijk, Haarlem, Beverwijk, Castricum, Beverwijk, Zaandam, Castricum, Beverwijk, Haarlem]"
train_120630,"[Nijmegen, Oss, Nijmegen, Arnhem Centraal, Nijmegen, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal, s-Hertogenbosch, Eindhoven, Helmond]"
train_121832,"[Alphen a/d Rijn, Leiden Centraal, Den Haag HS, Delft, Heemstede-Aerdenhout, Leiden Centraal, Den Haag Laan v NOI, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Heemstede-Aerdenhout, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Schiphol Airport]"
train_120382,"[Apeldoorn, Amersfoort, Zwolle, Deventer, Apeldoorn, Amersfoort, Utrecht Centraal, Amsterdam Centraal, Amsterdam Amstel, Utrecht Centraal]"
train_120187,"[Haarlem, Amsterdam Sloterdijk, Heemstede-Aerdenhout, Haarlem, Leiden Centraal, Den Haag Centraal, Den Haag Laan v NOI, Schiphol Airport, Leiden Centraal, Utrecht Centraal, Hilversum, Ede-Wageningen, Gouda]"
train_120637,"[Schiphol Airport, Den Haag Centraal, Den Haag Laan v NOI, Schiphol Airport, Leiden Centraal, Den Haag Laan v NOI, Heemstede-Aerdenhout, Leiden Centraal, Alphen a/d Rijn, Gouda, Leiden Centraal, Schiphol Airport, Leiden Centraal]"
train_120612,"[Arnhem Centraal, Dieren, Zutphen, Deventer, Deventer, Zwolle, Assen, Steenwijk, Deventer, Apeldoorn]"
train_120434,"[Amsterdam Sloterdijk, Amsterdam Centraal, Almere Centrum, Hilversum, Almere Centrum, Amsterdam Amstel, Amsterdam Zuid, Schiphol Airport, Amsterdam Sloterdijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Den Haag HS, Den Haag Laan v NOI, Delft]"
train_121109,"[Rotterdam Alexander, Gouda, Den Haag Centraal, Den Haag Laan v NOI, Leiden Centraal, Den Haag Centraal, Delft, Den Haag Laan v NOI, Heemstede-Aerdenhout, Leiden Centraal, Amsterdam Zuid, Schiphol Airport]"
train_122838,"[Den Haag HS, Delft, Den Haag Centraal, Gouda, Leiden Centraal, Den Haag Centraal, Gouda, Alphen a/d Rijn, Leiden Centraal, Den Haag Laan v NOI, Heemstede-Aerdenhout, Haarlem, Leiden Centraal, Schiphol Airport]"
train_120241,"[Den Haag Centraal, Leiden Centraal, Den Haag HS, Delft, Schiphol Airport, Heemstede-Aerdenhout, Haarlem, Leiden Centraal, Den Haag Laan v NOI, Schiphol Airport, Amsterdam Zuid, Leiden Centraal, Utrecht Centraal, Hilversum]"
train_121042,"[Den Haag Laan v NOI, Leiden Centraal, Den Haag Centraal, Den Haag Laan v NOI, Schiphol Airport, Amsterdam Zuid, Amsterdam Sloterdijk, Haarlem, Beverwijk, Beverwijk, Zaandam, Castricum, Beverwijk, Castricum]"
train_120192,"[Den Haag HS, Gouda, Leiden Centraal, Den Haag Centraal, Den Haag Laan v NOI, Schiphol Airport, Leiden Centraal, Utrecht Centraal, Hilversum, Ede-Wageningen]"
train_121589,"[Etten-Leur, Breda, Tilburg, s-Hertogenbosch, Utrecht Centraal, Alphen a/d Rijn, Leiden Centraal, Den Haag Centraal, Den Haag Laan v NOI, Schiphol Airport, Amsterdam Zuid]"
train_136454,"[Dordrecht, Breda, Etten-Leur, Breda, Tilburg, s-Hertogenbosch, Utrecht Centraal, Almere Centrum, Hilversum, Utrecht Centraal, Amsterdam Amstel]"
train_121283,"[Haarlem, Heemstede-Aerdenhout, Haarlem, Leiden Centraal, Den Haag HS, Gouda, Alphen a/d Rijn, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Haarlem, Beverwijk, Castricum, Zaandam, Amsterdam Sloterdijk]"
train_122117,"[Schiphol Airport, Leiden Centraal, Den Haag HS, Gouda, Alphen a/d Rijn, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Leiden Centraal, Den Haag Centraal, Delft, Den Haag HS, Gouda, Rotterdam Alexander, Rotterdam Centraal, Dordrecht]"
train_121116,"[Zutphen, Deventer, Apeldoorn, Zutphen, Apeldoorn, Deventer, Almelo, Zwolle, Zwolle, Groningen, Assen]"
train_126644,"[Delft, Den Haag HS, Gouda, Leiden Centraal, Den Haag Centraal, Den Haag Laan v NOI, Schiphol Airport, Leiden Centraal, Den Haag HS, Delft, Schiphol Airport, Amsterdam Zuid, Leiden Centraal, Den Haag Laan v NOI, Heemstede-Aerdenhout]"
score,22624.52808988764
