train,stations
train_175,"[Den Haag Laan v NOI, Delft, Schiedam Centrum, Rotterdam Blaak, Rotterdam Alexander, Rotterdam Centraal, Dordrecht, Rotterdam Blaak, Dordrecht, Roosendaal, Dordrecht, Breda]"
train_133,"[Utrecht Centraal, Amsterdam Centraal, Amsterdam Amstel, Utrecht Centraal, Gouda, Den Haag Centraal]"
train_167,"[Gouda, Den Haag Laan v NOI, Gouda, Den Haag Centraal, Leiden Centraal, Alphen a/d Rijn, Gouda, Rotterdam Alexander, Dordrecht, Rotterdam Blaak]"
train_168,"[Beverwijk, Castricum, Amsterdam Sloterdijk, Amsterdam Zuid, Amsterdam Sloterdijk, Zaandam, Hoorn, Zaandam]"
train_123,"[Oss, s-Hertogenbosch, Eindhoven, s-Hertogenbosch, Utrecht Centraal, Gouda, Den Haag Centraal, Delft, Den Haag HS, Delft, Den Haag Centraal]"
train_132,"[Rotterdam Centraal, Schiedam Centrum, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag Laan v NOI, Leiden Centraal, Schiphol Airport, Leiden Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Sloterdijk, Amsterdam Centraal, Almere Centrum, Amsterdam Centraal]"
train_163,"[Hoorn, Castricum, Zaandam, Beverwijk, Zaandam, Hoorn, Alkmaar]"
train_140,"[Utrecht Centraal, Gouda, Den Haag Centraal, Gouda, Utrecht Centraal, Hilversum, Utrecht Centraal, Schiphol Airport]"
train_161,"[Zwolle, Steenwijk, Heerenveen, Groningen, Leeuwarden]"
train_185,"[Den Helder, Alkmaar, Castricum, Beverwijk, Castricum, Zaandam, Castricum, Alkmaar]"
train_136,"[Etten-Leur, Breda, Etten-Leur, Breda, Etten-Leur, Breda, Etten-Leur, Roosendaal, Etten-Leur, Breda, Tilburg, s-Hertogenbosch]"
train_188,"[Zwolle, Almelo, Hengelo, Enschede, Hengelo, Enschede, Hengelo, Enschede, Hengelo, Almelo]"
train_138,"[s-Hertogenbosch, Eindhoven, s-Hertogenbosch, Utrecht Centraal, Alphen a/d Rijn, Utrecht Centraal]"
train_233,"[Almere Centrum, Amsterdam Centraal, Utrecht Centraal, Gouda, Alphen a/d Rijn, Gouda, Den Haag Centraal, Leiden Centraal]"
train_182,"[Arnhem Centraal, Dieren, Apeldoorn, Deventer, Zutphen, Dieren, Arnhem Centraal, Dieren, Zutphen, Apeldoorn, Deventer, Apeldoorn, Zutphen]"
train_164,"[Lelystad Centrum, Almere Centrum, Amsterdam Amstel, Almere Centrum, Lelystad Centrum, Almere Centrum, Amsterdam Amstel, Almere Centrum]"
train_181,"[Steenwijk, Deventer, Zutphen, Deventer, Almelo, Zwolle]"
train_238,"[Zwolle, Steenwijk, Heerenveen, Leeuwarden, Heerenveen, Leeuwarden, Leeuwarden, Groningen]"
train_171,"[Steenwijk, Heerenveen, Steenwijk, Heerenveen, Leeuwarden, Heerenveen, Leeuwarden, Groningen, Assen]"
train_129,"[Amsterdam Zuid, Amsterdam Sloterdijk, Amsterdam Zuid, Amsterdam Sloterdijk, Zaandam, Amsterdam Sloterdijk, Amsterdam Centraal, Utrecht Centraal, Almere Centrum, Amsterdam Amstel]"
score,2722.8876404494376
