train,stations
train_3327,"[Dieren, Arnhem Centraal, Ede-Wageningen, Dieren, Nijmegen, Arnhem Centraal, Oss, Nijmegen, s-Hertogenbosch, Eindhoven, Tilburg, Breda, s-Hertogenbosch]"
train_7643,"[Etten-Leur, Breda, Dordrecht, Tilburg, Eindhoven, Breda, s-Hertogenbosch, Eindhoven, s-Hertogenbosch, Tilburg, Breda, Dordrecht, Rotterdam Blaak]"
train_2034,"[Delft, Den Haag HS, Leiden Centraal, Den Haag Laan v NOI, Heemstede-Aerdenhout, Haarlem, Leiden Centraal, Schiphol Airport, Amsterdam Zuid, Leiden Centraal, Utrecht Centraal, Hilversum, Ede-Wageningen, Arnhem Centraal]"
train_6696,"[Oss, s-Hertogenbosch, Eindhoven, Tilburg, Breda, s-Hertogenbosch, Utrecht Centraal, Hilversum, Almere Centrum, Amsterdam Amstel]"
train_2033,"[Rotterdam Alexander, Rotterdam Blaak, Dordrecht, Rotterdam Blaak, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Delft, Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander, Rotterdam Centraal, Rotterdam Alexander, Rotterdam Blaak, Dordrecht, Etten-Leur, Roosendaal]"
train_2221,"[Beverwijk, Zaandam, Amsterdam Sloterdijk, Amsterdam Zuid, Schiphol Airport, Amsterdam Sloterdijk, Amsterdam Zuid, Amsterdam Sloterdijk, Zaandam, Castricum, Alkmaar, Castricum, Zaandam, Castricum]"
train_1512,"[Amsterdam Zuid, Amsterdam Amstel, Almere Centrum, Amsterdam Centraal, Amsterdam Sloterdijk, Utrecht Centraal, Gouda, Alphen a/d Rijn, Schiphol Airport]"
train_1509,"[Assen, Zwolle, Deventer, Zutphen, Dieren, Arnhem Centraal, Ede-Wageningen, Dieren, Nijmegen, Arnhem Centraal, Oss, Nijmegen, s-Hertogenbosch]"
train_2834,"[Ede-Wageningen, Arnhem Centraal, Nijmegen, Oss, s-Hertogenbosch, Eindhoven, Tilburg, Breda, s-Hertogenbosch, Utrecht Centraal, Gouda]"
train_227,"[Roosendaal, Dordrecht, Breda, Tilburg, Roosendaal, Etten-Leur, Breda, Tilburg, s-Hertogenbosch, Utrecht Centraal, Amersfoort, Gouda]"
train_4428,"[Hoorn, Zaandam, Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Amstel, Almere Centrum, Amsterdam Centraal, Almere Centrum, Amsterdam Centraal, Amsterdam Sloterdijk]"
train_4179,"[Apeldoorn, Deventer, Zutphen, Dieren, Arnhem Centraal, Ede-Wageningen, Dieren, Nijmegen, Arnhem Centraal, Oss, Nijmegen, s-Hertogenbosch, Utrecht Centraal, Oss, s-Hertogenbosch]"
train_119,"[Arnhem Centraal, Ede-Wageningen, Dieren, Nijmegen, Arnhem Centraal, Oss, s-Hertogenbosch, Tilburg, Eindhoven, Helmond, s-Hertogenbosch, Roermond, Weert]"
train_6786,"[Helmond, Eindhoven, s-Hertogenbosch, Tilburg, Eindhoven, Breda, s-Hertogenbosch, Oss, Nijmegen, s-Hertogenbosch, Utrecht Centraal, Amsterdam Centraal]"
train_4181,"[Etten-Leur, Breda, Dordrecht, Tilburg, Eindhoven, Breda, s-Hertogenbosch, Eindhoven, Tilburg, Breda, Dordrecht, Rotterdam Blaak, Rotterdam Alexander]"
train_3671,"[Haarlem, Amsterdam Sloterdijk, Amsterdam Centraal, Haarlem, Zaandam, Amsterdam Zuid, Amsterdam Amstel, Almere Centrum, Amsterdam Centraal, Amsterdam Amstel, Utrecht Centraal, s-Hertogenbosch, Tilburg]"
train_208,"[Lelystad Centrum, Almere Centrum, Amsterdam Amstel, Amsterdam Zuid, Schiphol Airport, Amsterdam Sloterdijk, Amsterdam Centraal, Haarlem, Zaandam, Amsterdam Zuid, Amsterdam Sloterdijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Alphen a/d Rijn]"
train_419,"[Alphen a/d Rijn, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Beverwijk, Haarlem, Amsterdam Sloterdijk, Amsterdam Centraal, Haarlem, Zaandam, Amsterdam Zuid, Amsterdam Amstel, Amsterdam Centraal, Almere Centrum]"
train_406,"[Amsterdam Centraal, Haarlem, Zaandam, Amsterdam Zuid, Amsterdam Amstel, Almere Centrum, Amsterdam Centraal, Amsterdam Sloterdijk, Zaandam, Beverwijk, Castricum, Haarlem, Amsterdam Sloterdijk]"
train_2522,"[Rotterdam Blaak, Schiedam Centrum, Rotterdam Blaak, Dordrecht, Breda, Tilburg, Roosendaal, Etten-Leur, Breda, Tilburg, Breda, s-Hertogenbosch, Eindhoven]"
score,21479.932584269663
